filename,width,height,class,xmin,ymin,xmax,ymax
file (1),150,150,basket,209,153,451,466
file (1),150,150,basket,87,24,148,127
file (10),400,300,basket,116,54,268,249
file (100),300,300,basket,187,63,299,259
file (101),600,600,basket,150,79,478,554
file (102),200,200,basket,35,2,167,182
file (103),400,300,basket,52,102,145,227
file (104),500,500,basket,117,26,398,462
file (105),150,150,basket,23,15,140,145
file (106),300,300,basket,211,82,300,232
file (107),300,300,basket,167,58,299,281
file (108),300,300,basket,212,55,299,208
file (109),400,300,basket,190,51,387,264
file (11),400,300,basket,149,129,236,255
file (110),400,400,basket,129,56,312,337
file (111),400,300,basket,313,151,388,278
file (112),400,300,basket,18,68,145,248
file (113),400,300,basket,132,26,274,231
file (114),400,300,basket,150,40,225,159
file (115),400,300,basket,30,42,211,297
file (116),400,300,basket,41,83,181,278
file (117),400,300,basket,204,23,387,284
file (118),600,600,basket,153,22,453,470
file (119),175,175,basket,46,7,130,121
file (12),400,300,basket,224,111,351,285
file (120),400,300,basket,3,1,236,292
file (121),200,200,basket,1,28,143,199
file (122),250,250,basket,152,41,244,184
file (123),600,600,basket,147,103,585,599
file (124),250,250,basket,35,31,129,165
file (125),150,150,basket,50,40,125,137
file (126),150,150,basket,11,1,137,148
file (127),350,350,basket,118,123,221,266
file (128),300,300,basket,144,81,288,277
file (129),300,300,basket,118,119,181,208
file (13),400,300,basket,162,113,237,208
file (130),500,500,basket,199,202,297,337
file (131),400,300,basket,113,56,304,295
file (132),300,300,basket,18,154,122,283
file (133),500,500,basket,140,129,337,398
file (134),400,300,basket,55,12,304,299
file (135),500,500,basket,125,8,371,339
file (136),400,300,basket,167,93,284,260
file (137),400,300,basket,80,135,144,233
file (138),400,300,basket,282,24,398,198
file (139),250,250,basket,37,2,212,208
file (14),400,300,basket,109,77,262,267
file (140),400,300,basket,3,53,145,294
file (141),210,210,basket,33,11,166,189
file (142),325,325,basket,165,75,265,227
file (143),325,325,basket,114,137,207,265
file (144),700,700,basket,45,173,419,598
file (145),450,450,basket,73,76,178,201
file (146),250,250,basket,73,105,122,173
file (147),700,700,basket,123,115,273,336
file (148),600,600,basket,105,96,232,283
file (149),600,600,basket,188,167,600,598
file (15),500,500,basket,43,13,395,454
file (150),200,200,basket,60,32,139,158
file (151),300,300,basket,76,3,249,256
file (152),700,700,basket,183,52,513,587
file (153),700,700,basket,123,170,383,576
file (154),400,400,basket,140,56,371,376
file (155),250,250,basket,110,42,226,214
file (156),250,250,basket,106,26,249,228
file (157),300,300,basket,99,54,190,197
file (158),400,300,basket,148,93,255,224
file (159),250,250,basket,79,91,206,243
file (16),400,300,basket,142,121,230,256
file (160),250,250,basket,46,1,230,192
file (161),250,250,basket,75,68,173,233
file (162),400,400,basket,171,73,345,296
file (163),250,250,basket,31,2,192,177
file (164),400,300,basket,151,72,230,231
file (165),150,150,basket,41,21,93,93
file (166),150,150,basket,1,26,80,137
file (17),400,300,basket,117,69,248,238
file (18),400,300,basket,197,157,274,234
file (182),360,480,basket,160,167,223,249
file (183),360,480,basket,125,185,199,289
file (184),360,480,basket,107,167,226,327
file (185),360,480,basket,95,161,230,363
file (186),360,480,basket,96,179,219,373
file (187),360,480,basket,98,55,232,257
file (188),360,480,basket,191,177,303,325
file (189),360,480,basket,151,178,204,255
file (19),400,300,basket,89,31,276,247
file (190),360,480,basket,169,180,216,246
file (191),360,480,basket,136,211,198,324
file (192),360,480,basket,180,156,227,218
file (193),360,480,basket,178,186,230,265
file (194),360,480,basket,158,179,236,292
file (195),360,480,basket,126,152,234,313
file (196),360,480,basket,113,44,231,235
file (197),360,480,basket,98,100,251,335
file (198),360,480,basket,74,165,179,347
file (199),360,480,basket,82,118,157,244
file (2),200,200,basket,48,1,149,159
file (20),400,300,basket,148,94,262,249
file (200),360,480,basket,200,264,266,381
file (201),360,480,basket,112,196,183,297
file (202),360,480,basket,143,162,243,336
file (203),360,480,basket,27,14,159,209
file (204),360,480,basket,13,213,158,476
file (205),360,480,basket,61,81,125,179
file (206),360,480,basket,95,117,215,296
file (207),360,480,basket,85,92,193,240
file (208),360,480,basket,104,229,212,404
file (209),360,480,basket,102,168,175,286
file (21),400,300,basket,130,75,275,254
file (210),360,480,basket,123,184,191,308
file (211),360,480,basket,56,160,142,280
file (212),360,480,basket,133,233,202,353
file (213),360,480,basket,117,174,179,298
file (214),360,480,basket,125,187,209,316
file (215),360,480,basket,109,118,239,334
file (216),360,480,basket,71,60,283,371
file (217),360,480,basket,73,201,205,421
file (218),360,480,basket,36,250,196,470
file (219),360,480,basket,181,41,353,279
file (22),400,300,basket,124,32,261,237
file (220),360,480,basket,158,158,220,223
file (221),360,480,basket,171,143,274,302
file (222),360,480,basket,63,99,204,308
file (223),360,480,basket,91,175,218,320
file (224),360,480,basket,57,104,149,220
file (225),360,480,basket,205,297,286,401
file (226),360,480,basket,150,187,214,300
file (227),360,480,basket,161,164,199,214
file (228),360,480,basket,90,136,129,203
file (229),360,480,basket,142,228,196,307
file (23),400,300,basket,179,155,245,241
file (230),360,480,basket,97,119,246,328
file (231),360,480,basket,100,188,165,297
file (232),360,480,basket,78,162,165,316
file (233),360,480,basket,23,112,227,430
file (234),360,480,basket,159,166,248,309
file (235),360,480,basket,97,152,190,294
file (236),360,480,basket,151,148,208,252
file (237),360,480,basket,115,179,194,291
file (238),360,480,basket,102,147,192,286
file (239),360,480,basket,87,74,221,289
file (24),500,500,basket,140,16,354,309
file (240),360,480,basket,52,17,269,332
file (241),360,480,basket,114,125,252,324
file (242),360,480,basket,168,153,281,315
file (243),360,480,basket,244,187,329,350
file (244),360,480,basket,25,195,114,340
file (245),360,480,basket,205,35,300,179
file (246),360,480,basket,123,302,210,450
file (247),360,480,basket,151,168,264,340
file (248),360,480,basket,38,101,158,270
file (249),360,480,basket,221,276,348,463
file (25),400,300,basket,114,124,222,240
file (250),360,480,basket,110,128,184,254
file (251),360,480,basket,37,58,138,233
file (252),360,480,basket,135,135,207,244
file (253),360,480,basket,180,241,260,358
file (254),360,480,basket,67,51,277,357
file (255),360,480,basket,2,1,195,257
file (256),360,480,basket,232,35,360,413
file (257),360,480,basket,19,2,244,228
file (258),360,480,basket,63,191,276,479
file (259),360,480,basket,21,2,347,416
